A,B,C,D,Date,E,F,G,GeoID,H,I,J,K,L,M,N,O,P,R,S,SUMLEV,T,U,date,state,county
21774,515,2115.0,98498.0,Apr_11_2020,21655.0,1646,8.18,42,18.39,11664,115.37,21752,98872.73,375,267.86,515,,0.17,0.0,states,170.23,4.03,2020-04-11,Pennsylvania,
12261,432,,39556.0,Apr_11_2020,12159.0,402,3.39,13,1.65,5878,92.09,12230,39451.61,224,107.69,431,43100.0,0.12,0.0,states,119.07,4.2,2020-04-11,Georgia,
3262,93,343.0,18058.0,Apr_11_2020,3191.0,254,8.44,01,16.25,1630,99.88,0,,49,111.36,0,,0.07,0.0,states,67.05,1.91,2020-04-11,Alabama,
1875,50,,8765.0,Apr_12_2020,1875.0,97,5.46,11,6.38,877,87.88,1865,18650.0,28,127.27,50,,0.27,0.01,states,273.92,7.3,2020-04-12,District of Columbia,
1970,96,383.0,20790.0,Apr_12_2020,1970.0,102,5.46,40,3.23,719,57.47,1967,65566.67,50,108.7,96,,0.05,0.0,states,50.28,2.45,2020-04-12,Oklahoma,
727,26,34.0,8724.0,Apr_12_2020,754.0,16,2.25,50,8.33,215,41.99,725,36250.0,4,18.18,26,,0.12,0.0,states,116.32,4.16,2020-04-12,Vermont,
3341,145,442.0,35916.0,Apr_12_2020,3964.0,128,3.98,55,2.84,1074,47.38,3322,17484.21,72,98.63,145,,0.06,0.0,states,57.82,2.51,2020-04-12,Wisconsin,
1280,27,74.0,18442.0,Apr_12_2020,1280.0,52,4.23,05,8.0,427,50.06,1273,18185.71,11,68.75,27,,0.04,0.0,states,42.8,0.9,2020-04-12,Arkansas,
4520,86,331.0,57619.0,Apr_12_2020,4520.0,210,4.87,37,0.0,1935,74.85,4502,25011.11,49,132.43,86,,0.04,0.0,states,44.51,0.85,2020-04-12,North Carolina,
3319,82,,28106.0,Apr_12_2020,3319.0,112,3.49,45,2.5,1270,61.98,3306,25430.77,38,86.36,82,,0.07,0.0,states,66.97,1.65,2020-04-12,South Carolina,
2781,96,,18632.0,Apr_12_2020,2781.0,139,5.26,28,3.23,1143,69.78,2775,46250.0,53,123.26,96,,0.09,0.0,states,93.05,3.21,2020-04-12,Mississippi,
19855,460,,163398.0,Apr_12_2020,19355.0,877,4.62,12,3.37,7513,60.87,19785,28264.29,240,109.09,458,22900.0,0.1,0.0,states,96.39,2.23,2020-04-12,Florida,
2665,63,201.0,18578.0,Apr_12_2020,3142.0,316,13.45,44,12.5,1743,189.05,2645,13225.0,38,152.0,63,,0.25,0.01,states,252.22,5.96,2020-04-12,Rhode Island,
3539,117,,38570.0,Apr_12_2020,3539.0,146,4.3,04,4.46,1270,55.97,3530,39222.22,53,82.81,117,,0.05,0.0,states,50.95,1.68,2020-04-12,Arizona,
24496,1488,3636.0,64555.0,Apr_12_2020,31666.0,641,2.69,26,6.67,8863,56.69,24471,97884.0,871,141.17,1488,,0.25,0.01,states,246.01,14.94,2020-04-12,Michigan,
